model,episode,step,waiting_time,queue_length,mean_speed
Random,1,531,247.0,16,3.1917761093282326
Random,1,532,271.0,15,4.644947280672477
Random,1,533,147.0,8,4.7317846550120555
Random,1,534,173.0,11,4.443544555873607
Random,1,535,199.0,17,3.8492309048412627
Random,1,536,221.0,16,3.958677550971273
Random,1,537,225.0,13,3.721976988353203
Random,1,538,284.0,16,3.3632966887590174
Random,1,539,377.0,23,1.845014187072059
Random,1,540,429.0,24,2.6702453162500777
Random,1,541,448.0,22,3.3720716719116246
Random,1,542,349.0,20,3.3086346007923706
Random,1,543,377.0,19,3.5836661922993045
Random,1,544,428.0,21,3.2206636482807767
Random,1,545,551.0,27,2.3557914816742627
Random,1,546,338.0,31,1.7868305171727075
Random,1,547,517.0,39,2.771986577547812
Random,1,548,632.0,38,3.1111262868633855
Random,1,549,822.0,38,2.2038534360258337
Random,1,550,1036.0,44,2.3403032061432385
Random,1,551,1220.0,40,1.4895510678147648
Random,1,552,1425.0,41,1.6397693407799574
Random,1,553,1305.0,36,2.0833566211785857
Random,1,554,959.0,27,3.5167914136063034
Random,1,555,609.0,17,4.810735436130078
Random,1,556,270.0,13,4.538756854388413
Random,1,557,85.0,16,3.435673218522901
Random,1,558,186.0,23,2.7162117825513006
Random,1,559,325.0,32,1.3249114944214784
Random,1,560,435.0,33,1.0079775095685266
Random,1,561,626.0,41,2.7763458216825434
Random,1,562,627.0,36,3.058251153818532
Random,1,563,518.0,27,3.0593126205908434
Random,1,564,399.0,25,4.315914156376881
Random,1,565,274.0,17,5.434143862592674
Random,1,566,200.0,13,5.293976868134373
Random,1,567,284.0,19,3.665894339118752
Random,1,568,340.0,19,3.380680197887925
Random,1,569,402.0,19,4.076537094742518
Random,1,570,198.0,13,3.017185932887695
Random,1,571,195.0,18,3.415622854272375
Random,1,572,295.0,24,2.848502549710578
Random,1,573,455.0,36,1.7746481040216104
Random,1,574,652.0,43,0.7535698189862874
Random,1,575,737.0,45,0.37744720685683797
Random,1,576,762.0,39,3.2830230878575497
Random,1,577,616.0,27,3.5344474998291164
Random,1,578,576.0,25,3.24521121246014
Random,1,579,600.0,30,2.9377396262444355
Random,1,580,766.0,37,2.1756530084013197
Random,1,581,927.0,39,1.3973967588033982
Random,1,582,1142.0,45,1.5187584043240727
Random,1,583,877.0,44,2.950389846403564
Random,1,584,836.0,38,3.0829706303625604
Random,1,585,1032.0,42,2.5699539106325813
Random,1,586,1256.0,47,1.391691164812026
Random,1,587,1196.0,42,1.0181531745883805
Random,1,588,933.0,34,2.608825278144067
Random,1,589,739.0,29,2.9171227807379725
Random,1,590,461.0,26,3.3476708469530365
Random,1,591,252.0,22,2.7506629256195256
Random,1,592,260.0,26,2.7368287471404042
Random,1,593,307.0,33,2.2955413948141508
Random,1,594,318.0,34,2.0836597430651667
Random,1,595,362.0,32,2.610812856953855
Random,1,596,397.0,28,1.8138617551443215
Random,1,597,449.0,26,2.625258152017945
Random,1,598,517.0,23,3.4484917788993417
Random,1,599,600.0,22,3.740200998122662
Random,1,600,402.0,22,3.5663447589032296
Random,1,601,386.0,20,3.559736017099268
Random,1,602,447.0,22,3.1528896180167814
Random,1,603,519.0,23,3.0011423183846775
Random,1,604,289.0,21,3.551383761482313
Random,1,605,180.0,22,4.0915058682326775
Random,1,606,236.0,22,3.245504786530067
Random,1,607,292.0,27,2.597261079755978
Random,1,608,400.0,29,3.4674178956625332
Random,1,609,302.0,24,3.529474372935586
Random,1,610,223.0,18,4.188333852732613
Random,1,611,181.0,19,3.1204808501037262
Random,1,612,236.0,28,3.6854343104353386
Random,1,613,406.0,37,3.0519571874544282
Random,1,614,550.0,45,2.164727050468038
Random,1,615,801.0,52,0.9992805378154382
Random,1,616,863.0,48,1.302491387834642
Random,1,617,784.0,38,2.268872039777469
Random,1,618,742.0,32,3.5894529542918123
Random,1,619,640.0,23,6.254826955454598
Random,1,620,611.0,18,6.708391970471286
Random,1,621,610.0,21,4.919788070758519
Random,1,622,721.0,25,4.28098844138613
Random,1,623,819.0,27,3.221634887065982
Random,1,624,919.0,24,3.1974467657533685
Random,1,625,619.0,21,2.9590947085501003
Random,1,626,181.0,17,4.082052544962928
Random,1,627,157.0,18,3.8705676396625472
Random,1,628,283.0,31,3.077885535649642
Random,1,629,467.0,41,1.6427331133222494
Random,1,630,552.0,46,0.6390278021558933
Random,1,631,572.0,41,2.4491750091958537
Random,1,632,611.0,33,3.8131454417077157
Random,1,633,619.0,27,4.528011028646012
Random,1,634,677.0,28,3.5661522497081246
